Topic,Claim (Fake News),Who Said It,Date,Actual Rating,Proof Link
Deepfake,NSA Ajit Doval did not say that more Hindus are attracted to ISIS than Muslims.,"Facebook,Twitter,X,News18",2025-11-18T09:23:56Z,False,https://www.thequint.com/news/webqoof/nsa-ajit-doval-isis-hindus-muslims-news18-viral-video-fact-check
Deepfake,A News18 report states that NSA Ajit Doval called out a purported deepfake video of him allegedly saying more Hindus are attracted to ISIS than Muslims.,News18,2025-11-17T00:00:00Z,False,https://newschecker.in/fact-check/heres-the-truth-behind-news18-report-on-alleged-more-hindus-attracted-to-isis-remark-by-ajit-doval
Deepfake,Video showing Ajit Doval saying ISI recruits more Hindus than Muslims from India is a deepfake.,"Ajit Doval, News18",2025-11-17T14:50:13Z,False,https://www.boomlive.in/fact-check/ajit-doval-deepfake-claim-isi-recruitment-video-fact-check-boomlive-30002
Deepfake,Video shows Imran Khan's sister saying in an interview with Sky News that 'Radicalised Islamist' Asim Munir yearns for a full-scale war with India,"X handles, media outlets",2025-12-05T09:47:12Z,False,https://boomlive.in/n-30181
Deepfake,This video shows an authentic report about Sonam Wangchuk's custodial death.,Twitter,2025-11-28T10:20:40Z,False,https://www.thequint.com/news/webqoof/india-today-deepfake-shared-as-real-report-on-sonam-wangchuk-custodial-death-fact-check
Deepfake,Ladakh climate activist Sonam Wangchuk has died in police custody,X user @Mushk_0,2025-11-28T08:50:58Z,False,https://www.boomlive.in/fact-check/deepfake-videos-sonam-wangchuk-death-custody-fake-claim-30111
Deepfake,Fact Check: Viral Video of Lieutenant General Rajiv Ghai Talking About 'Saffronisation' Of the Indian Army Is A Deepfake,Facebook user ‘Harrishgowda,2025-10-31T04:47:55Z,False,https://www.vishvasnews.com/english/ai-check/fact-check-viral-video-of-lieutenant-general-rajiv-ghai-talking-about-saffronisation-of-the-indian-army-is-a-deepfake/
Deepfake,Amit Shah spoke about saffronisation of the Indian Army.,Facebook user ‘Annu Malik’,2025-10-31T05:49:32Z,False,https://www.vishvasnews.com/english/ai-check-2/fact-check-deepfake-video-falsely-claims-amit-shah-called-indian-army-army-of-hindutva-rss/
Deepfake,Verified: Thai PBS Clip Reporting “Boy Tha Phrachan” Arrest over Gambling Website Was Actually Created Using AI Deepfake Technology,Thai PBS,2025-10-01T00:00:00Z,ข่าวปลอม,https://www.thaipbs.or.th/verify/content/6037
Deepfake,Nigerian influencer promoting get-rich-quick scheme,TheRatel,2025-09-24T00:00:00Z,AI-generated,https://factcheck.afp.com/doc.afp.com.79MC8T3
Deepfake,This video shows Union Finance Minister Nirmala Sitharaman guaranteeing returns on investment using a platform.,"Facebook,WhatsApp",2025-10-17T09:39:32Z,False,https://www.thequint.com/news/webqoof/video-of-nirmala-sitharaman-promoting-investment-platform-guaranteed-results-is-a-deepfake-fact-check
Deepfake,A video shows “anti-fascists” being attacked.,Unknown,Unknown,"This video isn’t real, and is a deepfake using an image from September 2024. Clues such as the text on a flag changing in the middle of the video are evidence it was made using artificial intelligence (AI).",https://fullfact.org/politics/anti-fascists-egged-video-ai/
Deepfake,Donald Trump Blaming India For The Floods In Pakistan,FB User Waheed Asghar Bhatti,2025-09-03T09:54:58Z,False,https://www.vishvasnews.com/english/ai-check/fact-check-deepfake-video-falsely-shows-donald-trump-blaming-india-for-the-floods-in-pakistan/
Deepfake,Video shows US President Donald Trump claiming India caused the floods in Pakistan.,Social media users,2025-09-01T09:10:29Z,False,https://www.boomlive.in/fact-check/trump-fake-video-claims-india-caused-pakistan-floods-fact-check-29430
Deepfake,"This video shows Rajdeep Sardesai, Nirmala Sitharaman, Azim Premji, and Narayana Murty promoting Elon Musk's investment platform called Quantum AI.",Facebook,2025-08-12T09:36:08Z,False,https://www.thequint.com/news/webqoof/elon-musk-rajdeep-sardesai-deepfake-quantum-ai-fact-check
Deepfake,A deepfake video shows YS Jagan Mohan Reddy referring to Hindi as the national language.,Social Media User,2025-07-17T00:00:00Z,FALSE,https://factly.in/this-viral-video-of-ys-jagan-stating-hindi-is-the-national-language-is-real-and-not-a-deepfake/
Deepfake,Princess Anne has been recorded making a number of claims about Queen Camilla and saying she will be leaving her fortune and title for Princess Charlotte to inherit.,Unknown,Unknown,These are deepfake audio clips where Princess Anne’s voice has been cloned. We could find no evidence of Princess Anne making any such comments.,https://fullfact.org/culture-and-society/princess-anne-deepfake-audio-video-compilations/
Deepfake,Deepfake Alert! Nirmala Sitharaman’s Budget interview with PTI’s CEO & Editor-in-Chief shared with superimposed audio to falsely claim FM endorsed trading platform,PTI Fact Check,2025-06-29T21:06:09Z,False,https://www.ptinews.com/fact-detail/span-class%22pti-red-color%22-pti-fact-check-spandeepfake-alert-nirmala-sitharamans-budget-interview-with-ptis-ceo--editor-in-chief-shared-with-superimposed-audio-to-falsely-claim-fm-endorsed-trading-platform/2685381
Deepfake,"Vice President Sara Duterte is promoting an investment plan that claims to pay out as much as P1 million per month following an initial payment of P15,000.",Verdie Purdy,2025-07-16T06:41:18Z,False,https://www.rappler.com/newsbreak/fact-check/deepfake-sara-duterte-fake-investment-ad/
Deepfake,"Senator Bam Aquino and several ABS-CBN broadcast journalists are promoting an investment plan that claims to pay out P175,",Philippine News,2025-07-15T01:00:00Z,False,https://www.rappler.com/newsbreak/fact-check/deepfake-videos-bam-aquino-journalists-used-investment-plan-ad/
Deepfake,A 45-second video claiming to show Israeli PM Benjamin Netanyahu saying his country and India will act against Iran and its “ally” Pakistan after the former threatened to annihilate Israel.,Viral social media post,2025-07-12T00:00:00Z,Altered Photo/Video,https://newschecker.in/ai-deepfake/deepfake-video-of-netanyahu-announcing-that-israel-will-team-up-with-india-to-take-on-iran-pakistan-shared-as-real
Deepfake,"Video of Gautam Adani promoting a high-income investment scheme and urging people to invest ₹21,000 to receive returns of ₹15 lakh within the first month",Social Media User,2025-07-06T00:00:00Z,FALSE,https://factly.in/deepfake-visuals-are-being-falsely-shared-as-gautam-adani-promoting-a-highly-profitable-investment-scheme/
Deepfake,External affairs minister S Jaishankar admits that India lost three Rafale fighter jets during Operation Sindoor.,Viral social media post,2025-07-04T00:00:00Z,Altered Photo/Video,https://newschecker.in/ai-deepfake/deepfake-video-of-s-jaishankar-allegedly-admitting-india-lost-3-rafale-fighter-jets-during-conflict-with-pakistan-shared-as-real
Deepfake,The viral video shows scenes from a real tiger market in Bangladesh.,Social Media User,2025-06-28T00:00:00Z,FALSE,https://factly.in/this-video-of-an-alleged-tiger-market-in-bangladesh-is-a-deepfake-created-using-ai/
Deepfake,Union Finance Minister Nirmala Sitharaman endorsed a government-backed money trading platform.,PTI Fact Check,2025-06-29T21:06:09Z,False,https://www.ptinews.com/fact-detail/pti-fact-check-deepfake-alert-nirmala-sitharaman-s-budget-interview-with-pti-s-ceo-editor-in-chief-shared-with-superimposed-audio-to-falsely-claim-fm-endorsed-trading-platform/2685381
Election fraud,Video shows a protest surrounding Election Commissioner Gyanesh Kumar over allegations of vote rigging in Bihar,Social Media,2025-11-21T00:00:00Z,Misleading,https://www.newsmobile.in/nm-fact-checker/fact-check-unrelated-video-falsely-shared-as-election-commissioners-car-surrounded-in-bihar/
Election fraud,"Viral posts claim Brazilian hairstylist Larissa Nery mocked Rahul Gandhi, calling him a “failed politician”, in a purported translation of her reaction to her photo allegedly being used to commit voter fraud in Haryana.",Viral social media post,2025-11-06T00:00:00Z,False,https://newschecker.in/fact-check/did-brazilian-woman-call-rahul-gandhi-a-failed-politician-after-vote-chori-presser-heres-the-truth-behind-viral-video
Election fraud,"A video shows Democrats committing election fraud on November 4, 2025",Multiple people,2025-11-04T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.83326NQ
Election fraud,"500,000 illegal votes cast in 2025 New Jersey Governor Race",Mr. Star Spangled MAGA,2025-11-05T00:00:00Z,Misleading,https://factcheck.afp.com/doc.afp.com.83XG29F
Election fraud,"Video of ballot drop box being emptied shows fraud in Pima County, Arizona",Leslie White,2025-11-04T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.836E3CQ
Election fraud,Person illegally voted for Zohran Mamdani six times,Multiple people,2025-11-02T00:00:00Z,Satire,https://factcheck.afp.com/doc.afp.com.82ZX9NQ
Election fraud,Stacy Abrams was indicted in Georgia for voter fraud for voting using three different names,facebook.com,2025-09-04T16:50:56Z,Satire Label,https://leadstories.com/hoax-alert/2025/09/fact-check-stacey-abrams-was-not-indicted-for-vater-fraud-in-georgia.html
Election fraud,"In September 2025, former Democratic Georgia State Rep. Stacey Abrams was indicted on a voter fraud charge.",Unknown,Unknown,Labeled Satire,https://www.snopes.com/fact-check/stacey-abrams-indicted-voter-fraud/
Election fraud,"""States are merely an 'agent' for the Federal Government in counting and tabulating the votes. They must do what the Federal Government, as represented by the President of the United States, tells them, FOR THE GOOD OF OUR COUNTRY, to do.""",President Donald Trump,2025-08-18T00:00:00Z,False,https://www.factcheck.org/2025/08/factchecking-trumps-claims-about-mail-in-ballots-voting-machines-and-states-role/
Election fraud,"President Trump said the U.S. is ""now the only Country in the World that uses Mail-in Voting.”",President Donald Trump,2025-08-18T00:00:00Z,False,https://www.factcheck.org/2025/08/factchecking-trumps-claims-about-mail-in-ballots-voting-machines-and-states-role/
Election fraud,Population and vote figures show evidence of fraud in Hanam-A district,Multiple sources,2025-06-16T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.62MA3CP
Election fraud,7.3 million mail-in ballots are indicative of fraud in Canadian election,@ImJulianAssange,2025-04-29T00:00:00Z,Unsubstantiated,https://factcheck.afp.com/doc.afp.com.44PT663
Election fraud,Canada's Liberals are issuing people two voter information cards,Multiple people,2025-04-15T00:00:00Z,Misleading,https://factcheck.afp.com/doc.afp.com.43D46NP
Election fraud,Trump accuses Modi of using electronic voting machines to rig elections.,Multiple sources,2025-03-02T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.36ZK88Y
Election fraud,S. Korea's National Election Commission's falsehoods were revealed in court,Multiple sources,2024-12-20T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.36RG6PF
