Topic,Claim (Fake News),Who Said It,Date,Actual Rating,Proof Link,clean_text,local_image_path
Deepfake,NSA Ajit Doval did not say that more Hindus are attracted to ISIS than Muslims.,"Facebook,Twitter,X,News18",2025-11-18T09:23:56Z,False,https://www.thequint.com/news/webqoof/nsa-ajit-doval-isis-hindus-muslims-news18-viral-video-fact-check,nsa ajit doval say hindu attracted isi muslim,images/news_0.jpg
Deepfake,A News18 report states that NSA Ajit Doval called out a purported deepfake video of him allegedly saying more Hindus are attracted to ISIS than Muslims.,News18,2025-11-17T00:00:00Z,False,https://newschecker.in/fact-check/heres-the-truth-behind-news18-report-on-alleged-more-hindus-attracted-to-isis-remark-by-ajit-doval,news report state nsa ajit doval called purported deepfake video allegedly saying hindu attracted isi muslim,images/news_1.jpg
Deepfake,Video showing Ajit Doval saying ISI recruits more Hindus than Muslims from India is a deepfake.,"Ajit Doval, News18",2025-11-17T14:50:13Z,False,https://www.boomlive.in/fact-check/ajit-doval-deepfake-claim-isi-recruitment-video-fact-check-boomlive-30002,video showing ajit doval saying isi recruit hindu muslim india deepfake,images/news_2.jpg
Deepfake,Video shows Imran Khan's sister saying in an interview with Sky News that 'Radicalised Islamist' Asim Munir yearns for a full-scale war with India,"X handles, media outlets",2025-12-05T09:47:12Z,False,https://boomlive.in/n-30181,video show imran khan sister saying interview sky news radicalised islamist asim munir yearns fullscale war india,images/news_3.jpg
Deepfake,This video shows an authentic report about Sonam Wangchuk's custodial death.,Twitter,2025-11-28T10:20:40Z,False,https://www.thequint.com/news/webqoof/india-today-deepfake-shared-as-real-report-on-sonam-wangchuk-custodial-death-fact-check,video show authentic report sonam wangchuks custodial death,images/news_4.jpg
Deepfake,Ladakh climate activist Sonam Wangchuk has died in police custody,X user @Mushk_0,2025-11-28T08:50:58Z,False,https://www.boomlive.in/fact-check/deepfake-videos-sonam-wangchuk-death-custody-fake-claim-30111,ladakh climate activist sonam wangchuk died police custody,images/news_5.jpg
Deepfake,Fact Check: Viral Video of Lieutenant General Rajiv Ghai Talking About 'Saffronisation' Of the Indian Army Is A Deepfake,Facebook user ‘Harrishgowda,2025-10-31T04:47:55Z,False,https://www.vishvasnews.com/english/ai-check/fact-check-viral-video-of-lieutenant-general-rajiv-ghai-talking-about-saffronisation-of-the-indian-army-is-a-deepfake/,fact check viral video lieutenant general rajiv ghai talking saffronisation indian army deepfake,images/news_6.jpg
Deepfake,Amit Shah spoke about saffronisation of the Indian Army.,Facebook user ‘Annu Malik’,2025-10-31T05:49:32Z,False,https://www.vishvasnews.com/english/ai-check-2/fact-check-deepfake-video-falsely-claims-amit-shah-called-indian-army-army-of-hindutva-rss/,amit shah spoke saffronisation indian army,images/news_7.jpg
Deepfake,This video shows Union Finance Minister Nirmala Sitharaman guaranteeing returns on investment using a platform.,"Facebook,WhatsApp",2025-10-17T09:39:32Z,False,https://www.thequint.com/news/webqoof/video-of-nirmala-sitharaman-promoting-investment-platform-guaranteed-results-is-a-deepfake-fact-check,video show union finance minister nirmala sitharaman guaranteeing return investment using platform,images/news_10.jpg
Deepfake,A video shows “anti-fascists” being attacked.,Unknown,Unknown,"This video isn’t real, and is a deepfake using an image from September 2024. Clues such as the text on a flag changing in the middle of the video are evidence it was made using artificial intelligence (AI).",https://fullfact.org/politics/anti-fascists-egged-video-ai/,video show antifascists attacked,images/news_11.jpg
